pH,Sulphate,Hardness,Conductivity,TDS,Turbidity,Potability
7.020062425676548,162.9848544194308,109.93768126669342,192.08994224254894,192.59702793409195,2.2794684860668015,1
9.321279028120912,885.8920575349089,446.75559067439906,2673.576405527599,1399.3506889454604,15.26253607553013,0
5.06298766722262,661.9801989620846,699.5993042976894,1505.502904706253,620.1152036858014,24.03240570132244,0
7.656961670400301,264.8218967028116,340.9367360524594,1142.625219151555,506.71085177353297,4.696887488564011,0
9.610755173594303,828.8904905717573,586.8913743230173,2869.1916723830827,1321.2150341187735,11.810883246082712,0
7.525730227378649,95.74108548207948,211.6161725646262,301.63712602286364,417.6041505030978,3.9291059610781494,1
8.176367456866544,200.7509055877071,134.65789411021305,756.8616837076277,365.47387395177446,2.2243641817212394,1
6.738823537225669,124.35954988240448,200.9831396317228,183.91852475116085,169.8230337226618,2.1096446073615263,1
6.821067718811878,105.00160343052026,112.1050619410216,245.44307416810767,239.25964685654296,1.1427559341289306,1
6.702763937472105,267.951649027852,287.93583210611257,1206.7899062700444,511.0415440277459,5.817802345431296,1
8.371709117406343,193.20091787781593,211.76150286835394,579.6472482571837,289.5551031163512,1.7035194757726928,1
9.448688944728731,307.6616428590844,673.4114207573281,2786.4048558748955,841.6325621553223,15.398439663070357,0
8.238046623168204,128.78651728746968,192.42385049563083,763.4275526204061,217.1690555658349,1.088937526233338,1
5.582500437598606,784.529481036067,733.5504480226259,2721.768436738688,1806.041143872443,10.707691102792552,0
9.467369189620642,356.7111285247096,657.3976831749648,1050.4363213590811,866.1722105892911,17.15592683316509,0
9.049444525400974,651.2776591800648,365.78988217738555,3008.37959838123,1331.910341311434,14.089342768642657,0
9.53110032186607,858.2604251750646,757.6205458833495,2744.6092216734464,2063.958360152373,21.117246733983368,0
7.095335592386094,91.29022772660939,151.5155613877409,703.3276850568421,239.21576113222346,3.870250764298882,1
6.790610931198196,311.0751551361459,255.12884997788797,1214.6589226490446,585.7762298122661,5.8028078092265325,1
6.956930947335812,145.62871052649794,182.82440890987868,414.4341301003236,139.63628267963134,2.618957613682404,1
8.18434641887144,259.03397535567694,214.3678473020915,888.8922493276264,630.5022066518685,5.606795103943185,0
9.937428687560045,661.8268000046675,413.88130643867777,2076.067316310011,900.6984523281004,8.603582678707534,0
8.217480884445274,62.517189894830224,126.8488804691276,477.8148840451066,311.5372326469979,3.3586935192664154,1
7.222484166588086,250.84751876197447,334.6215692818281,1172.5218412474603,601.1533205439439,4.693962249504475,0
8.497670316211376,227.78365269005675,321.8842136181797,1280.2093559119714,596.2094326046299,5.599493464628769,0
7.697684259948404,132.44738957942155,165.6160303738329,222.57835687116187,333.1091707003236,3.0851497574362146,1
7.671924130176821,220.19821000487312,166.50540761890943,260.2215243131416,161.6692574253245,1.9308812468722152,1
9.259466203218294,635.8934500903521,398.55212648955,1768.739143617654,1736.8660149787368,12.979363767265975,0
4.57298722637565,845.5847891536436,713.2782133107831,1345.339650117525,1900.3473949169922,13.595899715720607,0
7.080293681274194,207.26969997219805,99.35689523027074,593.0120625494973,438.1077747114323,2.66759139205914,1
6.708218688016545,270.6988955622162,219.301125056928,996.541892540951,621.8685068633641,4.886432132690275,0
8.416930363243965,300.880303960733,218.8689450631054,1225.7364035475193,539.8455929404246,5.41257910761936,1
4.876391520974833,892.9918872928196,742.7223592478833,1655.7886606533405,1882.9166047362362,14.037213156913529,0
10.355002305918996,539.6038061840628,637.4967616158394,1171.670029224929,1609.1948213886033,22.113797197131603,0
6.977992593474542,159.1810939136717,151.12242301908282,763.3325739811014,353.2252663655026,2.4739403730962746,1
9.698936948894469,657.2011938394598,464.4842760336655,2625.5057360088026,959.5404890808601,17.634703133701198,0
9.671384881509775,977.0617614958101,504.4083687752226,1020.6679326744544,1078.7196436933696,14.835368472257052,0
7.937211125584915,154.7695096955792,134.8543779165644,786.7466440490883,313.1310573498739,1.5621094913415794,1
5.232995590669321,944.688116199721,352.896684004684,1496.2551377383736,760.8370235816504,9.73906396281691,0
7.116991059789613,65.12703005030569,145.3217024748224,525.742389971969,439.33565933349115,1.9997736273011482,1
5.3097780510669,661.1070369423342,431.0656275374708,1169.4990615053068,881.0127981273592,12.607826839970922,0
6.912023962628207,207.5414324393464,336.86678438900765,854.0687363694581,474.098204658602,5.827216068635339,0
7.101331447115702,129.10347242286835,97.74670453369176,378.22326722782634,147.4305785300836,3.554850980733099,1
